id,canonical_name,display_name,dog_base_severity,cat_base_severity,position_reduction_eligible,is_legume,review_status,has_content,occurrence_count,
18d9cbfc-b411-48dd-8983-51f215f6a6d4,vitamin_e,Vitamin E,good,good,FALSE,FALSE,,FALSE,4534,
d5c3aded-d0eb-4b4f-83b1-f4677f65b939,vitamin_b1,Vitamin B1,good,good,FALSE,FALSE,,FALSE,4100,
4a2e5cd7-2326-473c-a2c2-4d3872ea0cca,vitamin_b6,Vitamin B6,good,good,FALSE,FALSE,,FALSE,3921,
496a3462-28ed-4a94-8549-cb5a7832e0db,vitamin_b2,Vitamin B2,good,good,FALSE,FALSE,,FALSE,3855,
782c8184-5840-43f1-a4ec-1975cb2e8abf,pantothenic_acid,Pantothenic Acid,good,good,FALSE,FALSE,,FALSE,3727,
81a8c562-7847-4f1b-b9fb-51761dbaf060,vitamin_b12,Vitamin B12,good,good,FALSE,FALSE,,FALSE,3687,
80432c0f-dc71-44ba-9d3b-e4a805d0c814,folate,Folic Acid,good,good,FALSE,FALSE,,FALSE,3663,
eab8dcd3-21f2-59b8-bb73-9d81df944eda,salt,Salt (Sodium Chloride),caution,caution,TRUE,FALSE,,TRUE,3662,
9764b522-0940-46b6-a37f-5ce01d6eb2f0,iodide,Iodide,good,good,FALSE,FALSE,,FALSE,3638,
1fa19df7-eaf7-4f8e-9ee1-9faa0e5be4dc,vitamin_a,Vitamin A,good,good,FALSE,FALSE,,FALSE,3627,
81201ab9-2528-45af-8d66-c964263717bb,vitamin_d3,Vitamin D3 (Cholecalciferol),good,good,FALSE,FALSE,,FALSE,3591,
704be5eb-ed8c-4bb2-9e03-9906b77bdc48,choline_chloride,Choline Chloride,neutral,neutral,FALSE,FALSE,,TRUE,3589,
1ce8368d-0fe9-4cca-9ef9-aa64c88afc02,potassium_chloride,Potassium Chloride,neutral,neutral,FALSE,FALSE,,TRUE,3459,
b02f6ca8-00a9-402e-88d7-b9ea824f8fde,vitamin_b3,Vitamin B3 (Niacin),good,good,FALSE,FALSE,,FALSE,3449,
aa41ad68-269a-43fd-a87c-973a8cc99428,vitamin_b7,Vitamin B7 (Biotin),good,good,FALSE,FALSE,,FALSE,3311,
45482531-8d38-5b84-a7f6-d0c1448afb78,taurine,Taurine,good,good,FALSE,FALSE,,TRUE,3182,
8f03da78-ba82-5136-a32f-3a87f8c98c25,natural_flavor,Natural Flavor,caution,caution,FALSE,FALSE,,TRUE,3061,
0999929c-0cd2-47fe-a4aa-debb92c35fad,selenium,Selenium,good,good,FALSE,FALSE,,FALSE,2783,
80d12c08-14b7-4fe7-80ab-89d4ce2b603c,chicken,Chicken,good,good,FALSE,FALSE,,FALSE,2751,
44046c43-3c6b-46e0-8a75-11afef4f5ab2,iron_sulfate,Iron Sulfate,good,good,FALSE,FALSE,,FALSE,2458,
355a4093-59d3-537f-a154-159c9e342747,copper_sulfate,Copper Sulfate,caution,neutral,FALSE,FALSE,,TRUE,2407,
41d64e65-a44c-4726-a0d7-8bdb6e0382d6,copper_chelated,Copper Amino Acid Chelate,good,good,FALSE,FALSE,,FALSE,2196,
8c515edb-e416-44ea-a7f8-a7a5a909d694,manganese_sulfate,Manganese Sulfate,neutral,neutral,FALSE,FALSE,,TRUE,2190,
2c100201-7e1e-483e-9442-16659b892f73,zinc_sulfate,Zinc Sulfate,neutral,neutral,FALSE,FALSE,,TRUE,2021,
4dafc375-891d-5926-8dd8-5f21c97d0323,guar_gum,Guar Gum,neutral,neutral,FALSE,FALSE,,TRUE,1931,
e95e9d6b-5b72-4817-a3a4-01cbb8ac3070,zinc_chelated,Zinc Proteinate,good,good,FALSE,FALSE,,FALSE,1821,
047fb05c-841d-4dad-9a78-be4de3571e86,manganese_chelated,Manganese Amino Acid Chelate,good,good,FALSE,FALSE,,FALSE,1804,
2a92be2b-7d10-4b32-b64a-5294633858ad,calcium_carbonate,Calcium Carbonate,neutral,neutral,FALSE,FALSE,,TRUE,1720,
d181b08f-c52f-4b8a-9fa4-71effa7732c3,iron_chelated,Iron Amino Acid Chelate,neutral,neutral,FALSE,FALSE,,FALSE,1491,
f5e23549-393c-5949-a654-62daf54ba30a,carrots,Carrots,good,neutral,TRUE,FALSE,,TRUE,1339,
fc08ab5a-bee2-5323-acfc-c032da5b7088,flaxseed,Flaxseed,good,neutral,TRUE,FALSE,,TRUE,1311,
c41cae1a-06f2-5f50-a9d3-b47cc92f4c6b,rosemary_extract,Rosemary Extract,good,good,FALSE,FALSE,,TRUE,1234,
09757f64-3752-4493-99cf-a76ef864cfe3,vitamin_c,Vitamin C (L-Ascorbyl-2-Polyphosphate),neutral,neutral,FALSE,FALSE,,FALSE,1203,
1e9629f6-9880-45bf-bfa9-ebd00407b7cf,vitamin_k3,Menadione Sodium Bisulfite Complex,neutral,neutral,FALSE,FALSE,,FALSE,1187,
b7503b87-f8f6-4b0f-a3a2-12300f5e554c,tricalcium_phosphate,Tricalcium Phosphate,neutral,neutral,FALSE,FALSE,,TRUE,1170,
ab58a273-7ad1-47a5-81a7-8b83ed542010,peas,Peas,caution,caution,TRUE,TRUE,,TRUE,1154,
889f3c70-4caa-4bc3-93ec-5ca33baa1af7,water,Water,neutral,neutral,FALSE,FALSE,,FALSE,1114,
4946bb33-2a19-419f-9527-e2eb70d1046f,methionine,Methionine,good,good,FALSE,FALSE,,FALSE,1003,
cb1b7132-6a11-51eb-8768-1e8643611fcb,chicken_fat,Chicken Fat,good,good,TRUE,FALSE,,TRUE,1001,
c77a7427-5e78-43ac-add6-e727203a9415,zinc_oxide,Zinc Oxide,neutral,neutral,FALSE,FALSE,,TRUE,917,
1f38cd74-1f6e-5b71-b0c6-ecde43b419a8,mixed_tocopherols,Mixed Tocopherols (Vitamin E),good,good,FALSE,FALSE,,TRUE,903,
9622f22f-e462-547c-b46b-49348ad4b6c0,xanthan_gum,Xanthan Gum,neutral,neutral,FALSE,FALSE,,TRUE,877,
05e1422c-c350-53f2-9f91-9450439a8849,tapioca_starch,Tapioca Starch,neutral,caution,TRUE,FALSE,,TRUE,874,
3c5df399-2d32-5309-a41c-2c61d7e2a7cc,brewers_rice,Brewers Rice,neutral,caution,TRUE,FALSE,,TRUE,857,
227eb430-6e17-4595-935a-62ccdc362594,magnesium_sulfate,Magnesium Sulfate,neutral,neutral,FALSE,FALSE,,TRUE,857,
b07e6be1-fc37-593d-be18-d4c702410e5d,fish_oil,Fish Oil,good,good,TRUE,FALSE,,TRUE,839,
c7dcad3e-e82d-5ba8-a4c7-75cce9d55a29,sweet_potatoes,Sweet Potatoes,neutral,neutral,TRUE,FALSE,,TRUE,836,
