id,canonical_name,cluster_id,allergen_group,allergen_group_possible,dog_base_severity,cat_base_severity,is_unnamed_species,is_legume,position_reduction_eligible,cat_carb_flag,display_name,definition,tldr,detail_body,citations_display,position_context,created_at,base_description,dog_context,cat_context,citation_sources,review_status,primary_concern_basis
056d92f7-143d-58fd-9cfe-fc71aa5b2839,chicken_meal,protein_chicken,chicken,,good,good,False,False,True,False,Chicken Meal,"Chicken tissue ground and rendered to remove moisture, producing a concentrated protein source (~65% protein by weight).","A concentrated, named animal protein. ""Meal"" sounds worse than it is — rendering removes water, leaving a protein-dense ingredient that often delivers more actual protein per gram than fresh meat listed first.","Chicken meal is produced by cooking chicken tissue (clean flesh, skin, and sometimes bone) at high temperature to drive off moisture and fat. The result is a dry, shelf-stable powder with approximately 65% protein — roughly 3× the protein density of fresh chicken (which is ~70% water). AAFCO defines it as ""the dry rendered product from a combination of clean chicken flesh and skin with or without accompanying bone."" The key quality indicator is the named species: ""chicken meal"" tells you exactly what animal it came from, unlike generic ""poultry meal"" or ""meat meal.""","AAFCO Official Publication, Ingredient Definition 9.71; Hand MS et al., Small Animal Clinical Nutrition, 5th Ed., Ch. 5",This ingredient's impact depends on how much is used. Higher on the label = more benefit.,2026-02-27T12:33:11.001583+00:00,,,,,,
e99f29fe-fcbc-5535-b427-d7956e38141e,chicken_byproduct_meal,protein_chicken,chicken,,good,good,False,False,True,False,Chicken By-Product Meal,"Ground, rendered product from chicken parts including necks, feet, undeveloped eggs, and intestines — excludes feathers.","Sounds unappetizing but is nutritionally adequate. Contains organ meats (liver, heart, gizzard) that are nutrient-dense. The concern is variability — ""by-product"" allows a wider range of parts than ""meal,"" so quality depends on the manufacturer's sourcing.","AAFCO defines chicken by-product meal as ""ground, rendered, clean parts of the carcass of slaughtered chicken, such as necks, feet, undeveloped eggs, and intestines — exclusive of feathers except in such amounts as might occur unavoidably in good processing practices."" This actually includes organ meats (liver, heart, gizzard) which are highly nutritious. The main distinction from chicken meal is that by-product meal permits a wider range of parts, introducing batch-to-batch variability. Some premium manufacturers use high-quality by-product meal rich in organ meats; others use lower-quality blends. The ingredient itself is not harmful — it's the inconsistency that warrants a slightly lower confidence than named chicken meal.","AAFCO Official Publication, Ingredient Definition 9.71; NRC Nutrient Requirements of Dogs and Cats, 2006, Table 15-1",This ingredient's impact depends on how much is used. Higher on the label = more benefit.,2026-02-27T12:33:11.001583+00:00,,,,,,
4c87f1f5-dc99-5b99-9a3f-90d7e28c2f08,meat_meal,,,"['beef', 'pork', 'lamb']",caution,caution,True,False,True,False,Meat Meal (generic/unnamed),Rendered product from unnamed mammalian tissue — the species is not specified.,"The species isn't named, which means you don't know what animal it came from. AAFCO allows ""meat meal"" to come from cattle, pigs, sheep, or goats — but not poultry, fish, or named exotic species. The FDA has found pentobarbital (a euthanasia drug) in some generic rendered meals.","AAFCO defines ""meat meal"" as rendered from mammalian tissues exclusive of blood, hair, hoof, horn, hide trimmings, manure, and stomach/rumen contents. The critical issue is the missing species name: ""chicken meal"" tells you exactly what's inside; ""meat meal"" does not. The FDA Center for Veterinary Medicine found low levels of pentobarbital in pet foods containing generic rendered meals (2002 survey), suggesting some supply chains may include euthanized animals. While the levels detected were below those that would cause harm, the presence indicates supply chain control gaps. Named species (chicken meal, lamb meal, beef meal) provide traceability that generic ""meat meal"" cannot.","AAFCO Official Publication, Definitions 9.3, 9.14; FDA CVM, ""Report on the Risk from Pentobarbital in Dog Food,"" 2002; Meeker DL, Hamilton CR, Essential Rendering, National Renderers Association, 2006, Ch. 1–2",This ingredient's impact depends on how much is used. Listed lower on the label = less concern.,2026-02-27T12:33:11.001583+00:00,,,,,,
ee495c2a-c506-5184-9042-e3689b290361,meat_and_bone_meal,,,"['beef', 'pork', 'lamb']",caution,caution,True,False,True,False,Meat and Bone Meal,"Rendered unnamed mammalian tissue including bone, producing a high-phosphorus, high-ash protein source.","Same unnamed-species concerns as meat meal, plus high bone content drives up phosphorus and ash levels. Excessive phosphorus accelerates kidney disease progression in susceptible pets. Often found in budget formulations as a lower-cost protein and mineral source.","Meat and bone meal adds ground bone to the already-concerning unnamed meat meal base. The bone content significantly elevates phosphorus (often 4–6% P) and ash (often 20–30%), reducing the protein quality per gram. For cats — especially breeds predisposed to chronic kidney disease — high dietary phosphorus accelerates renal decline via FGF-23 elevation and secondary hyperparathyroidism. For dogs, the high ash content reduces caloric density and protein digestibility. The FDA Four investigation (2002) flagged generic rendered products as potential vectors for pentobarbital contamination. Named alternatives (chicken meal, turkey meal) offer equivalent protein with better mineral profiles and supply chain traceability.","AAFCO Official Publication, Definition 9.14; FDA CVM Pentobarbital Survey, 2002; Ross SJ et al., JAVMA, 2006;229(6):949–57",This ingredient's impact depends on how much is used. Listed lower on the label = less concern.,2026-02-27T12:33:11.001583+00:00,,,,,,
2eb84b1b-7cb4-5b88-a768-08c42e596804,salmon,protein_salmon,fish,,good,good,False,False,True,False,Salmon (fresh/deboned),"Fresh or deboned salmon, a named fish protein source rich in omega-3 fatty acids (EPA/DHA).","Excellent protein source with built-in omega-3 benefits for skin, coat, and joint health. One important caveat: fresh salmon is ~70% water, so its position on the label overstates its contribution after cooking. A food listing ""salmon"" first may have less animal protein than one listing ""salmon meal"" third.","Salmon provides high-quality animal protein with a complete amino acid profile plus naturally occurring EPA and DHA omega-3 fatty acids. These long-chain omega-3s support skin barrier function, reduce inflammatory responses, and may benefit cognitive development in puppies and kittens. The moisture caveat is important for label reading: AAFCO requires ingredients to be listed by pre-processing weight. Fresh salmon at ~70% moisture weighs 3× more than an equivalent protein contribution from salmon meal (~10% moisture). This means ""salmon"" listed first on the label may contribute less actual protein to the finished kibble than a meal ingredient listed lower. This is not a quality concern — it's a label-literacy issue.","Bauer JE, JAVMA, 2011;239(11):1441–51; NRC Nutrient Requirements of Dogs and Cats, 2006, Ch. 11 (lipids)",This ingredient's impact depends on how much is used. Higher on the label = more benefit.,2026-02-27T12:33:11.001583+00:00,,,,,,
101c9672-f340-4afd-9824-0b112b236867,yellow_#5,,,,caution,caution,False,False,False,False,Yellow #5,,,,,,2026-03-06T23:34:16.418319+00:00,,,,,,
30605812-2644-4f99-957a-0530a08ad681,sunfl­ower_oil,,,,neutral,neutral,False,False,False,False,Sunfl­ower Oil,,,,,,2026-03-06T23:34:16.418319+00:00,,,,,,
ea5d98da-61ab-4153-a441-445e50e497d0,wild_rice,,,,neutral,neutral,False,False,False,False,Wild Rice,,,,,,2026-03-06T23:34:16.418319+00:00,,,,,,
78b99160-faf1-52ed-8991-b0852caf17f5,fish_meal,protein_fish_generic,fish,"['salmon', 'whitefish', 'anchovy', 'sardine']",caution,caution,True,False,True,False,Fish Meal (generic/unnamed),Rendered product from unspecified fish species — a concentrated protein source with omega-3 content but unknown species origin.,"Decent protein with omega-3 benefits, but ""fish meal"" without a species name means you don't know which fish. This matters because different fish carry different heavy metal loads, and generic fish meal is often preserved with ethoxyquin during shipping — a preservative that won't appear on the label because the pet food company didn't add it themselves.","Generic fish meal provides ~60–65% protein with naturally occurring omega-3 fatty acids. The concern is twofold: first, unnamed species prevents assessment of heavy metal exposure (large predatory fish like tuna accumulate more mercury than small fish like anchovy); second, fish meal is routinely treated with ethoxyquin during ocean transport to prevent spontaneous combustion of the fat-rich powder. Because the ethoxyquin is added by the fish meal supplier rather than the pet food manufacturer, it is not required to appear on the pet food label. Named fish meals (salmon meal, herring meal, anchovy meal) offer better traceability for both heavy metal risk and preservation methods.","AAFCO Official Publication, Definition 9.52; US Coast Guard 46 CFR §148.265 (fish meal transport); Hilton JW, Can Vet J, 1989;30:723–28",This ingredient's impact depends on how much is used. Listed lower on the label = less concern.,2026-02-27T12:33:11.001583+00:00,,,,,,
dc587018-b680-580d-8ea4-29d16e3eff03,pea_protein,legume_pea,pea,,caution,danger,False,True,True,False,Pea Protein,Protein concentrate extracted from yellow peas — a plant-based protein isolate used to boost crude protein percentages on the guaranteed analysis.,"A plant protein that inflates the protein number on the label. Dogs: linked to the FDA's ongoing DCM (dilated cardiomyopathy) investigation involving legume-heavy diets. Cats: significantly worse — cats are obligate carnivores that cannot efficiently convert plant amino acids, and pea protein contains zero taurine, an amino acid cats absolutely require.","Pea protein is an isolated plant protein concentrate used primarily to boost crude protein percentages at lower cost than animal protein. The biological value is substantially lower than animal protein for both species. For dogs, the FDA's 2018–present DCM investigation identified diets high in peas, lentils, and potatoes as a common factor in reports of diet-associated dilated cardiomyopathy, particularly in breeds not traditionally predisposed. The mechanism remains under investigation, with hypotheses including taurine deficiency, taurine metabolism interference, and direct cardiotoxicity. For cats, the concern is more acute: as obligate carnivores, cats have limited ability to synthesize taurine from plant precursors, require preformed animal-source amino acids (arachidonic acid, taurine, vitamin A retinol), and have lower digestive enzyme activity for plant proteins. Pea protein contains zero taurine and an incomplete amino acid profile for feline requirements.","FDA CVM, ""FDA Investigation into Potential Link between Certain Diets and DCM,"" 2018–present; Freeman LM et al., JAVMA, 2018;253(11):1390–94; NRC 2006, Ch. 4 (protein and amino acids); Zafalon RVA et al., J Anim Physiol Anim Nutr, 2020;104:1789–801",This ingredient's impact depends on how much is used. Listed lower on the label = less concern.,2026-02-27T12:33:11.001583+00:00,,,,,,
