canonical_name,dog_base_severity,cat_base_severity,is_legume,position_reduction_eligible,has_content,occurrence_count
choline_chloride,neutral,neutral,False,False,true,3609
potassium_chloride,neutral,neutral,False,False,true,3459
manganese_sulfate,neutral,neutral,False,False,true,2190
zinc_sulfate,neutral,neutral,False,False,true,2021
guar_gum,neutral,neutral,False,False,true,1931
calcium_carbonate,neutral,neutral,False,False,true,1721
iron_chelated,neutral,neutral,False,False,false,1491
vitamin_c,neutral,neutral,False,False,false,1203
vitamin_k3,neutral,neutral,False,False,false,1187
tricalcium_phosphate,neutral,neutral,False,False,true,1170
zinc_oxide,neutral,neutral,False,False,true,918
xanthan_gum,neutral,neutral,False,False,true,878
magnesium_sulfate,neutral,neutral,False,False,true,857
sweet_potatoes,neutral,neutral,False,True,true,836
chicken_liver,neutral,neutral,False,True,false,818
glycerin,neutral,neutral,False,False,true,771
dicalcium_phosphate,neutral,neutral,False,False,true,711
sunflower_oil,neutral,neutral,False,True,true,697
citric_acid,neutral,neutral,False,False,true,647
barley,neutral,neutral,False,True,true,616
potato,neutral,neutral,False,True,false,557
manganese_oxide,neutral,neutral,False,False,false,542
brewer’s_yeast,neutral,neutral,False,False,false,483
yucca_extract,neutral,neutral,False,False,false,448
oat_meal,neutral,neutral,False,True,false,421
l_lysine,neutral,neutral,False,False,true,410
cellulose,neutral,neutral,False,True,false,392
lactobacillus_acidophilus,neutral,neutral,False,False,false,377
enterococcus_faecieum,neutral,neutral,False,False,false,310
parsley,neutral,neutral,False,True,true,295
calcium_sulfate,neutral,neutral,False,False,true,294
chicken_heart,neutral,neutral,False,True,false,283
cornprotein_meal,neutral,neutral,False,False,false,268
glycine,neutral,neutral,False,False,true,266
gelatin,neutral,neutral,False,False,false,263
potassium_sorbate,neutral,neutral,False,False,true,254
coconut_oil,neutral,neutral,False,True,true,250
lactic_acid,neutral,neutral,False,False,false,245
chicken_flavor,neutral,neutral,False,False,false,242
tapioca,neutral,neutral,False,False,false,241
artificial_and_natural_flavors,neutral,neutral,False,False,false,235
smoke_flavor,neutral,neutral,False,False,true,234
sodium_phosphate,neutral,neutral,False,False,true,233
calcium_lactate,neutral,neutral,False,False,false,217
pea_fiber,neutral,neutral,True,True,false,216
turkey_meal,neutral,neutral,False,True,false,212
fish,neutral,neutral,False,False,false,208
sorghum,neutral,neutral,False,True,true,205
sunflower_seed_oil,neutral,neutral,False,True,false,205
pea_starch,neutral,neutral,True,True,false,204
locust_bean_gum,neutral,neutral,False,False,true,203
beef_liver,neutral,neutral,False,True,false,202
rice_flour,neutral,neutral,False,True,false,195
pork_liver,neutral,neutral,False,True,false,181
broccoli,neutral,neutral,False,True,true,178
magnesium_oxide,neutral,neutral,False,False,true,174
preserved_with_mixed_tocopherols,neutral,neutral,False,False,false,169
beef_fat,neutral,neutral,False,True,false,164
cassia_gum,neutral,neutral,False,False,false,162
lactobacillus_casei,neutral,neutral,False,False,false,159
lecithin,neutral,neutral,False,False,false,154
nicotinic_acid,neutral,neutral,False,False,false,154
l_threonine,neutral,neutral,False,False,true,153
cobalt_chelated,neutral,neutral,False,False,false,147
agar_agar,neutral,neutral,False,False,true,147
pea_flour,neutral,neutral,True,True,false,146
tuna_flavor,neutral,neutral,False,False,false,146
yeast_culture,neutral,neutral,False,False,false,145
cheese,neutral,neutral,False,False,false,145
tomatoes,neutral,neutral,False,False,false,141
sodium_carbonate,neutral,neutral,False,False,false,139
miscanthus_grass,neutral,neutral,False,True,false,136
monocalcium_phosphate,neutral,neutral,False,False,true,135
chicken_liver_flavor,neutral,neutral,False,False,false,134
reduced_iron,neutral,neutral,False,False,false,131
oil_of_rosemary,neutral,neutral,False,False,false,127
carrot,neutral,neutral,False,False,false,126
potato_protein,neutral,neutral,False,False,false,126
menhaden_fish_meal,neutral,neutral,False,True,false,125
yeast_extract,neutral,neutral,False,False,false,121
lamb_meal,neutral,neutral,False,True,false,120
trichoderma_longibrachiatum,neutral,neutral,False,False,false,120
chondroitin,neutral,neutral,False,False,false,119
rosemary,neutral,neutral,False,False,false,116
lactobacillus_plantarum_fermentation_product,neutral,neutral,False,False,false,116
sorbitol,neutral,neutral,False,False,true,115
vinegar,neutral,neutral,False,False,false,112
bifidobacterium_animalis_fermentation_product,neutral,neutral,False,False,false,111
spearmint_extract,neutral,neutral,False,False,false,109
calcium_chloride,neutral,neutral,False,False,false,109
sodium_pyrophosphate,neutral,neutral,False,False,false,106
millet,neutral,neutral,False,True,true,104
celery_powder,neutral,neutral,False,False,false,103
turkey_liver,neutral,neutral,False,True,false,101
calcium_propionate,neutral,neutral,False,False,true,100
sorbic_acid,neutral,neutral,False,False,false,99
shrimp,neutral,neutral,False,False,false,99
l_tryptophan,neutral,neutral,False,False,true,98
fructooligosaccharide,neutral,neutral,False,False,false,96
tuna_broth,neutral,neutral,False,True,false,92
barley_grass,neutral,neutral,False,False,false,91
quinoa,neutral,neutral,False,True,true,90
apple,neutral,neutral,False,False,false,90
menhaden_fish_oil,neutral,neutral,False,True,false,90
niacinamide,neutral,neutral,False,False,false,90
beef_lung,neutral,neutral,False,True,false,89
cultured_whey,neutral,neutral,False,False,false,89
tomato,neutral,neutral,False,False,false,87
cobalt,neutral,neutral,False,False,false,86
bacon,neutral,neutral,False,False,false,84
chicken_bone_broth,neutral,neutral,False,True,false,83
montmorillonite_clay,neutral,neutral,False,False,true,83
potassium_citrate,neutral,neutral,False,False,true,83
vegetable_juice_for_color,neutral,neutral,False,False,false,82
butternut_squash,neutral,neutral,False,False,false,82
apple_cider_vinegar,neutral,neutral,False,False,false,81
pork_by_products,neutral,neutral,False,True,false,80
pork_meal,neutral,neutral,False,True,false,80
yeast,neutral,neutral,False,False,false,80
whey,neutral,neutral,False,False,false,79
sodium_acid_pyrophosphate,neutral,neutral,False,False,false,78
peanut_butter,neutral,neutral,False,False,false,78
poultry_byproduct_meal,neutral,neutral,False,True,true,77
malted_barley_flour,neutral,neutral,False,False,false,77
barley_malt_syrup,neutral,neutral,False,False,false,77
rice_bran,neutral,neutral,False,False,false,76
blueberry,neutral,neutral,False,False,false,76
beef_meal,neutral,neutral,False,True,false,73
monosodium_phosphate,neutral,neutral,False,False,false,73
oat_fiber,neutral,neutral,False,True,false,73
maltodextrin,neutral,neutral,False,False,true,71
new_zealand_green_mussel,neutral,neutral,False,False,false,70
fish_flavor,neutral,neutral,False,False,false,70
yam,neutral,neutral,False,False,false,70
coconut_glycerin,neutral,neutral,False,False,false,69
psyllium_seed_husk,neutral,neutral,False,False,false,68
sodium_propionate,neutral,neutral,False,False,false,68
whitefish_meal,neutral,neutral,False,True,false,67
papaya,neutral,neutral,False,True,true,66
chia_seed,neutral,neutral,False,False,false,65
suncured_alfalfa_meal,neutral,neutral,False,False,false,65
chicken_gizzard,neutral,neutral,False,True,false,64
preserved_with_mixed_tocopherols_and_citric_acid,neutral,neutral,False,False,false,64
pork_fat,neutral,neutral,False,True,false,64
ocean_whitefish,neutral,neutral,False,False,false,64
beef_kidney,neutral,neutral,False,True,false,63
scallop_flavor,neutral,neutral,False,False,false,63
tuna_oil,neutral,neutral,False,True,false,61
lamb_liver,neutral,neutral,False,True,false,61
direct_dehydrated_alfalfa_pellets,neutral,neutral,False,False,false,60
ethylenediamine_dihydroiodide,neutral,neutral,False,False,false,60
herring_meal,neutral,neutral,False,True,false,59
vitamin_b5,neutral,neutral,False,False,false,58
coconut,neutral,neutral,False,False,false,58
honey,neutral,neutral,False,False,false,57
herring_oil,neutral,neutral,False,True,false,56
sodium_caseinate,neutral,neutral,False,False,false,56
paprika_oleoresin,neutral,neutral,False,False,false,55
pork_plasma,neutral,neutral,False,True,false,55
seaweed,neutral,neutral,False,False,false,55
marigold_extract,neutral,neutral,False,False,false,54
thyme,neutral,neutral,False,False,false,54
bacon_flavor,neutral,neutral,False,False,false,53
modified_tapioca_starch,neutral,neutral,False,False,false,51
cranberry,neutral,neutral,False,False,false,51
tocopherols,neutral,neutral,False,False,false,51
marine_microalgae_oil,neutral,neutral,False,False,false,51
paprika,neutral,neutral,False,False,false,51
flavor,neutral,neutral,False,False,false,51
celery,neutral,neutral,False,True,true,50
squash,neutral,neutral,False,False,false,49
citrus_pulp,neutral,neutral,False,False,false,49
pork_liver_flavor,neutral,neutral,False,False,false,48
tetrasodium_pyrophosphate,neutral,neutral,False,False,false,47
beets,neutral,neutral,False,False,false,47
vitamin_b9,neutral,neutral,False,False,false,47
sodium_bisulfate,neutral,neutral,False,False,false,47
sage,neutral,neutral,False,False,false,46
pork_gelatin,neutral,neutral,False,True,false,46
erythorbic_acid,neutral,neutral,False,False,false,45
folic_acid_contains_a_source_of_live,neutral,neutral,False,False,false,45
bifidobacterium_longum_fermentation_product,neutral,neutral,False,False,false,45
magnesium_amino_acid_chelate,neutral,neutral,False,False,false,44
ocean_fish,neutral,neutral,False,False,false,43
cultured_skim_milk,neutral,neutral,False,False,false,43
beef_bone_broth,neutral,neutral,False,True,false,42
chicken_by_products,neutral,neutral,False,True,false,42
althea_root,neutral,neutral,False,False,false,42
juniper_berries,neutral,neutral,False,False,false,42
duck_meal,neutral,neutral,False,True,false,42
milk,neutral,neutral,False,False,false,42
garbanzo_beans,neutral,neutral,False,False,false,41
pediococcus_acidilactici_fermentation_product,neutral,neutral,False,False,false,41
naturally_occurring_microorganisms,neutral,neutral,False,False,false,40
filet_mignon_flavor,neutral,neutral,False,False,false,40
canola_meal,neutral,neutral,False,False,false,40
carmine,neutral,neutral,False,False,false,40
rice_starch,neutral,neutral,False,False,false,40
pears,neutral,neutral,False,False,false,40
kelp_meal,neutral,neutral,False,False,false,39
fenugreek_seed,neutral,neutral,False,False,false,39
potato_flour*,neutral,neutral,False,False,false,39
flavors,neutral,neutral,False,False,false,38
beef_heart,neutral,neutral,False,True,false,38
sarsaparilla_root,neutral,neutral,False,False,false,38
pork_broth,neutral,neutral,False,True,false,38
potassium_alginate,neutral,neutral,False,False,false,37
pinto_beans,neutral,neutral,False,False,false,37
nonfat_milk,neutral,neutral,False,False,false,37
apple_pomace,neutral,neutral,False,True,false,36
pressed_cranberries,neutral,neutral,False,False,false,36
choline,neutral,neutral,False,False,false,36
pork_lungs,neutral,neutral,False,True,false,36
fruit_juice_color,neutral,neutral,False,False,false,36
flax_seed,neutral,neutral,False,False,false,35
collard_greens,neutral,neutral,False,False,false,35
rosehips,neutral,neutral,False,False,false,35
inositol,neutral,neutral,False,False,true,35
pecan_shells,neutral,neutral,False,False,false,35
beef_tripe,neutral,neutral,False,True,false,34
vegetable_juice,neutral,neutral,False,False,false,34
sunflower_lecithin,neutral,neutral,False,True,false,34
raspberries,neutral,neutral,False,False,false,33
lentil_fiber,neutral,neutral,True,True,false,33
white_fish,neutral,neutral,False,False,false,33
duck_broth,neutral,neutral,False,True,false,33
calcium_gluconate,neutral,neutral,False,False,false,33
lamb_kidney,neutral,neutral,False,True,false,33
