id,name,base_score,category,target_species,is_grain_free
df42a2ac-5dc3-46a9-b97f-ae6c4ef98dc8,"Purina Pro Plan Vital Systems Chicken & Egg Formula 4-in-1 Dry Cat Food, 3-lb bag",74.0,daily_food,cat,False
9f271120-4f9a-4c6c-a842-1869902d263e,"Nulo Freestyle Turkey & Sweet Potato Grain-Free Dry Puppy Food, 11-lb bag",74.0,daily_food,dog,True
9f431447-0881-43c2-9249-bcaf56f4288d,"Blue Buffalo Wilderness Chicken High-Protein Grain-Free Indoor Hairball Control Adult Dry Cat Food, 5-lb bag",53.0,daily_food,cat,True
a4e9120c-3b83-4460-b147-8e722d50ee56,"Nutro Wholesome Essentials Chicken & Brown Rice Recipe Senior Dry Cat Food, 5-lb bag",63.0,daily_food,cat,False
ecd555d2-593a-42f4-8385-6a0babf22d0f,"Ultra Chewy Double Treat Bone Bacon & Cheese Flavor Dog Treats, 8 count",62.0,treat,dog,False
ee66e65c-82e2-4845-8183-2ef6e4f85489,"Hill's Grain-Free Soft-Baked Naturals with Chicken & Carrots Dog Treats, 8-oz bag",82.0,treat,dog,True
fcff2a69-70fb-4235-8c6c-2e92b92eb5fd,"Good 'n' Tasty Triple Flavor Roll-Ups Cheese, Beef & Pork Gourmet Dog Treats, 4-oz bag",94.0,treat,dog,False
32b2c51f-b9e4-4b92-9cdc-f29cf67276f4,"Zuke's Mini Naturals Peanut Butter & Oats Recipe Adult Soft & Tender Training Dog Treats, 6-oz bag",84.0,treat,dog,False
40061cda-857d-4496-8922-5a7f5edf0d5d,"Good 'n' Fun Triple Flavor Double Pops Pork, Chicken & Beef Dog Treat Chews, 5.5-oz bag",94.0,treat,dog,False
45b91854-fffb-4600-a0c9-2615a8dd904c,"Nutrish Savory Roasters Chicken Recipe Premium Dog Treats, 12-oz bag (Rachael Ray)",78.0,treat,dog,True
eeb2edc2-4c27-426c-8ce4-f6cb286557e2,"Three Dog Bakery Birthday Confetti Lick’n Crunch Cookie Puppy Treats, 13-oz box",,treat,dog,False
9b9bfbdc-5532-4e83-b213-bdba0e6abdc7,"Milk-Bone Peanut Buttery Bites Jif Peanut Butter Soft Dog Treats, 4.5-oz bag",,treat,dog,False
9fc74877-b4c1-48c0-b121-1e9bed264f80,"Fruitables Crispy Bacon & Apple Flavor Dog Treats, 20-oz bag",,treat,dog,False
adea45ff-b6a9-455e-9f7a-2df2da2b1c58,"Pork Chomps Roasted Twists Dog Treats, Large, 15 count",,treat,dog,False
41046cae-936e-474b-ad94-bcd320a4cea9,"Bocce's Bakery Burgers & Fries Beef, Sweet Potatoes & Cheese Dog Treats, 5-oz bag",,treat,dog,False
544a41ac-8828-429c-87da-a33de3e55682,"Waggin' Train Salmon Jerky Tenders Grain-Free High-Protein Dog Treats, 12-oz bag",,treat,dog,True
ba62847f-9e4b-40ad-8d5c-966fc87acdc3,"Butcher's Naturals Dry Pig Ears Dog Treats, 14-oz bag",,treat,dog,True
00660126-f599-4b01-a274-c9333fd00e35,"Three Dog Bakery Red Velvet Valentine's Day Lick'n Crunch Dog Biscuits, 13-oz box",,treat,dog,False
dd0549cb-211a-43e5-99c7-0b0d0a89e9ee,"Hill's Grain-Free Soft-Baked Naturals with Beef & Sweet Potatoes Dog Treats, 8-oz bag",82.0,treat,dog,True
255e45fe-3533-4c98-95bd-3b3b9e8748a1,"Fruitables Pumpkin & Apple Flavor Dog Treats, 24-oz bundle",,treat,dog,False
