canonical_name,dog_base_severity,cat_base_severity,occurrence_count
vitamin_e,good,good,4534
vitamin_b1,good,good,4100
vitamin_b6,good,good,3921
vitamin_b2,good,good,3855
vitamin_b12,good,good,3687
vitamin_a,good,good,3627
vitamin_d3,good,good,3591
vitamin_b3,good,good,3449
iron_sulfate,good,good,2458
vitamin_c,neutral,neutral,1203
water,neutral,neutral,1114
chicken_liver,neutral,neutral,818
chicken_broth,neutral,neutral,749
beef,good,good,727
tuna,neutral,neutral,697
meat_by_product,caution,caution,618
wheat_gluten,neutral,caution,616
turkey,good,good,522
wheat_flour,neutral,caution,494
liver,neutral,neutral,488
brewer’s_yeast,neutral,neutral,483
egg,good,good,439
oat_meal,neutral,neutral,421
dried_yeast,good,good,302
chicken_heart,neutral,neutral,283
soy_oil,caution,caution,281
cornprotein_meal,neutral,neutral,268
gelatin,neutral,neutral,263
lamb,good,good,253
lactic_acid,neutral,neutral,245
chicken_flavor,neutral,neutral,242
vegetable_oil,neutral,neutral,234
fish_broth,neutral,neutral,224
corn_starch,neutral,caution,218
calcium_lactate,neutral,neutral,217
pea_fiber,neutral,neutral,216
turkey_meal,neutral,neutral,212
sunflower_seed_oil,neutral,neutral,205
pea_starch,neutral,neutral,204
beef_liver,neutral,neutral,202
cane_molasses,neutral,neutral,197
rice_flour,neutral,neutral,195
pork_liver,neutral,neutral,181
red_#40,neutral,neutral,167
preserved_with_mixed_tocopherols,neutral,neutral,166
beef_fat,neutral,neutral,164
egg_white,neutral,neutral,163
cassia_gum,neutral,neutral,162
glucosamine,good,good,158
lecithin,neutral,neutral,154
nicotinic_acid,neutral,neutral,154
pork,good,good,153
poultry_by_products,neutral,neutral,149
iodized_salt,neutral,neutral,147
mixed_tocopherols_for_freshness,good,good,147
pea_flour,neutral,neutral,145
yeast_culture,neutral,neutral,145
cheese,neutral,neutral,145
tomatoes,neutral,neutral,141
egg_product,neutral,neutral,140
sodium_carbonate,neutral,neutral,139
miscanthus_grass,neutral,neutral,136
beef_broth,neutral,neutral,135
animal_plasma,caution,caution,133
yellow_#6,neutral,neutral,129
oil_of_rosemary,neutral,neutral,127
carrot,neutral,neutral,126
potato_protein,neutral,neutral,126
menhaden_fish_meal,neutral,neutral,125
yeast_extract,neutral,neutral,121
lamb_meal,neutral,neutral,120
rosemary,neutral,neutral,116
vinegar,neutral,neutral,112
turkey_broth,neutral,neutral,104
celery_powder,neutral,neutral,103
turkey_liver,neutral,neutral,101
mackerel,neutral,neutral,101
sorbic_acid,neutral,neutral,99
spearmint_extract,neutral,neutral,97
whitefish,good,good,96
fructooligosaccharide,neutral,neutral,96
barley_grass,neutral,neutral,91
apple,neutral,neutral,90
menhaden_fish_oil,neutral,neutral,90
herring,good,good,90
beef_lung,neutral,neutral,89
blue_#2,neutral,neutral,87
tomato,neutral,neutral,87
bacon,neutral,neutral,84
chicken_bone_broth,neutral,neutral,83
vegetable_juice_for_color,neutral,neutral,82
butternut_squash,neutral,neutral,82
apple_cider_vinegar,neutral,neutral,81
pork_meal,neutral,neutral,80
pork_by_products,neutral,neutral,80
sodium_acid_pyrophosphate,neutral,neutral,78
rice_bran,neutral,neutral,76
blueberry,neutral,neutral,76
monosodium_phosphate,neutral,neutral,73
oat_fiber,neutral,neutral,73
malted_barley_flour,neutral,neutral,71
new_zealand_green_mussel,neutral,neutral,70
beef_meal,neutral,neutral,70
fish_flavor,neutral,neutral,70
coconut_glycerin,neutral,neutral,68
psyllium_seed_husk,neutral,neutral,68
whitefish_meal,neutral,neutral,67
animal_fat_preserved_with_mixed_tocopherols,caution,caution,67
chia_seed,neutral,neutral,65
suncured_alfalfa_meal,neutral,neutral,65
sea_salt,neutral,neutral,65
preserved_with_mixed_tocopherols_and_citric_acid,neutral,neutral,64
chicken_gizzard,neutral,neutral,64
mixed_tocopherols_added_to_preserve_freshness,good,good,64
pork_fat,neutral,neutral,64
beef_kidney,neutral,neutral,63
flaxseed_meal,good,neutral,63
tuna_oil,neutral,neutral,61
lamb_liver,neutral,neutral,61
direct_dehydrated_alfalfa_pellets,neutral,neutral,60
ethylenediamine_dihydroiodide,neutral,neutral,60
herring_meal,neutral,neutral,59
vitamin_b5,neutral,neutral,58
iron_oxide_color,caution,caution,57
herring_oil,neutral,neutral,56
venison,good,good,55
paprika_oleoresin,neutral,neutral,55
marigold_extract,neutral,neutral,54
thyme,neutral,neutral,54
sardine,neutral,neutral,54
modified_tapioca_starch,neutral,neutral,51
tocopherols,neutral,neutral,51
animal_liver,neutral,neutral,51
pumpkin_seeds,good,good,50
cranberry,neutral,neutral,50
tetrasodium_pyrophosphate,neutral,neutral,47
beets,neutral,neutral,47
vitamin_b9,neutral,neutral,47
sage,neutral,neutral,46
pork_gelatin,neutral,neutral,46
salmon_broth,good,good,46
cod,neutral,neutral,46
erythorbic_acid,neutral,neutral,45
folic_acid_contains_a_source_of_live,neutral,neutral,45
corn_germ_meal,neutral,caution,44
poultry_fat,neutral,neutral,43
beef_bone_broth,neutral,neutral,42
chicken_by_products,neutral,neutral,42
althea_root,neutral,neutral,42
juniper_berries,neutral,neutral,42
duck_meal,neutral,neutral,42
garbanzo_beans,neutral,neutral,41
pumpkin_seed,good,good,41
filet_mignon_flavor,neutral,neutral,40
canola_meal,neutral,neutral,40
carmine,neutral,neutral,40
garlic_oil,neutral,neutral,40
kelp_meal,neutral,neutral,39
fenugreek_seed,neutral,neutral,39
flavors,neutral,neutral,38
beef_heart,neutral,neutral,38
sarsaparilla_root,neutral,neutral,38
pork_broth,neutral,neutral,37
apple_pomace,neutral,neutral,36
pressed_cranberries,neutral,neutral,36
choline,neutral,neutral,36
flax_seed,neutral,neutral,35
collard_greens,neutral,neutral,35
poultry_broth,neutral,neutral,35
rosehips,neutral,neutral,35
beef_tripe,neutral,neutral,34
vegetable_juice,neutral,neutral,34
sunflower_lecithin,neutral,neutral,34
bison,good,good,34
raspberries,neutral,neutral,33
lentil_fiber,neutral,neutral,33
white_fish,neutral,neutral,32
rabbit,good,good,31
trout,good,good,31
cheese_powder,neutral,neutral,30
sodium_silico_aluminate,neutral,neutral,30
vegetable_broth,neutral,neutral,29
soy_grits,caution,caution,29
wheat_bran,neutral,caution,29
ocean_fish_meal,neutral,neutral,29
rolled_oats,neutral,neutral,29
duck_broth,neutral,neutral,29
turkey_giblets,neutral,neutral,28
chamomile,neutral,neutral,27
red_#3,neutral,neutral,27
annatto_extract,neutral,neutral,27
olive_oil,neutral,neutral,27
chicken_cartilage,neutral,neutral,27
dandelion,neutral,neutral,26
soybean_hulls,neutral,neutral,26
zinc_methionine_hydroxy_analogue_chelate,neutral,neutral,26
manganese_methionine_hydroxy_analogue_chelate,neutral,neutral,26
copper_methionine_hydroxy_analogue_chelate,neutral,neutral,26
coconut_flour,neutral,neutral,25
spearmint,neutral,neutral,25
bacon_fat,neutral,neutral,25
carrot_powder,neutral,neutral,24
chicory,neutral,neutral,24
pollock_oil,neutral,neutral,24
rye,neutral,neutral,23
safflower_oil,neutral,neutral,23
chicken:_chicken,neutral,neutral,22
pineapple,neutral,neutral,22
turkey_bone_broth,neutral,neutral,22
green_pea,neutral,neutral,21
ferrous_glycine,neutral,neutral,21
sodium_aluminosilicate,neutral,neutral,21
naturally_occurring_microorganisms._the_facility_in_which_this_food_is_made_also_makes_food_that_may_contain_other_ingredients,neutral,neutral,20
naturally_occurring_microorganisms,neutral,neutral,20
marine_microalgae,neutral,neutral,20
beef_bone,neutral,neutral,20
citric_acid_for_freshness,neutral,neutral,20
turkey_heart,neutral,neutral,20
aloe_vera_gel_concentrate,neutral,neutral,20
cobalt_glucoheptonate,neutral,neutral,19
pineapple_stem,neutral,neutral,19
turkey_flavor,neutral,neutral,19
lactobacillus_acidophilus_fermentation_product_dehydrated,neutral,neutral,19
garlic,neutral,neutral,19
lamb_tripe,neutral,neutral,19
lactobacillus_acidophilus_fermentation_product,neutral,neutral,19
catfish_meal,neutral,neutral,19
chickpea,neutral,neutral,18
egg_and_chicken_flavor,neutral,neutral,18
purple_potatoes,neutral,neutral,18
brown_sugar,neutral,neutral,18
spray_dried_animal_blood_cells,neutral,neutral,18
sodium_carboxymethylcellulose,neutral,neutral,18
cod_liver_oil,neutral,neutral,17
avocado_oil,neutral,neutral,17
sage_extract,neutral,neutral,17
turkey_by_product_meal,neutral,neutral,17
lamb_broth,neutral,neutral,17
glyceryl_monostearate,neutral,neutral,17
tryptophan,neutral,neutral,16
faba_beans,neutral,neutral,16
dipotassium_phosphate,neutral,neutral,16
beef_spleen,neutral,neutral,16
wheat_middlings,neutral,caution,15
avocado,neutral,neutral,15
red_40_lake,caution,caution,15
