family,canonical_name,dog_base_severity,cat_base_severity,occurrence_count
"""attributes"":","""attributes"":",neutral,neutral,1
"""cautions"":null","""cautions"":null",neutral,neutral,1
"""dosagechart"":null","""dosagechart"":null",neutral,neutral,1
"""foodanddruginteractions"":null","""foodanddruginteractions"":null",neutral,neutral,1
"""packageinsert"":null","""packageinsert"":null",neutral,neutral,1
"""patientinfosheets"":null","""patientinfosheets"":null",neutral,neutral,1
"""possiblesideeffects"":null","""possiblesideeffects"":null",neutral,neutral,1
"""uses"":null","""uses"":null",neutral,neutral,1
&_carrotlamb,&_carrotlamb,neutral,neutral,1
&_kalechicken,&_kalechicken,neutral,neutral,1
&_kalechicken,&_kalechicken_&_green_beanschicken,neutral,neutral,1
&_kelpmackerel,&_kelpmackerel,neutral,neutral,1
&_musselunavailable,&_musselunavailable_with_2.8_oz_pouch,neutral,neutral,1
*upcycled,*upcycled,neutral,neutral,1
0.03%,0.03%,neutral,neutral,1
0.4_oz,0.4_oz_pouch,neutral,neutral,2
0.5_oz,0.5_oz_sachet,neutral,neutral,4
0.5_oz,0.5_oz_tube,neutral,neutral,3
000_kcal/kg,000_kcal/kg,neutral,neutral,1
027_kcal/kg,027_kcal/kg,neutral,neutral,1
052_kcal/kg,052_kcal/kg,neutral,neutral,1
080_kcal/kg,080_kcal/kg,neutral,neutral,1
1.3_oz,1.3_oz_tub,neutral,neutral,4
1.3_oz,1.3_oz,neutral,neutral,4
1.3_oz,1.3_oz_can,neutral,neutral,1
1.94_oz,1.94_oz_bag,neutral,neutral,1
10.6_oz,10.6_oz_bag,neutral,neutral,3
100_kcal/kg,100_kcal/kg,neutral,neutral,1
103.9_kcal/kg,103.9_kcal/kg,neutral,neutral,1
10_kcal/chip,10_kcal/chip,neutral,neutral,1
151_kcal/kg,151_kcal/kg,neutral,neutral,1
16_count,16_count,neutral,neutral,2
1_chicken,1_chicken,neutral,neutral,2
2,2,neutral,neutral,3
200_kcal/kg,200_kcal/kg,neutral,neutral,1
2021this_cat,2021this_cat_grass_consists_of_oat_seed,neutral,neutral,1
2022this_treat,2022this_treat_is_packaged_by_weight,neutral,neutral,1
294_kcal,294_kcal_per_bone,neutral,neutral,1
30_kcal/pouch,30_kcal/pouch_salmon,neutral,neutral,1
32_kcal/pouch,32_kcal/pouch,neutral,neutral,1
37_kcal/pouch,37_kcal/pouch_tuna,neutral,neutral,1
38_kcal/treat,38_kcal/treat,neutral,neutral,1
3_count,3_count,neutral,neutral,1
3_dihydroxypropyl,3_dihydroxypropyl_octadecanoate,neutral,neutral,1
3_oz,3_oz_can,neutral,neutral,2
400_kcal/kg,400_kcal/kg,neutral,neutral,2
440_kcal/kg,440_kcal/kg,neutral,neutral,1
484_kcal/kg,484_kcal/kg,neutral,neutral,1
48_kcal/treat,48_kcal/treat,neutral,neutral,1
4_count,4_count,neutral,neutral,1
4_count,4_count_+_tuna_grain_free_lickable_cat_treats,neutral,neutral,1
4_count,4_count_+_salmon_grain_free_lickable_treats,neutral,neutral,1
4_count—these,4_count—these_treats_are_made_with_high_quality,neutral,neutral,1
520_kcal/kg,520_kcal/kg,neutral,neutral,1
